Sample size,500000,,,,,,,
,,Non reset,,,,Reset version,,
,,Total spent,Gain,Expected value,,Total spent,Gain,Expected value
naive,none,500000,470735,0.94147,,500000,472528.5,0.945057
online,none,500000,485268.5,0.970537,,500000,484535,0.96907
online,double,556938,545890,0.9801629625,,500000,484909,0.969818
online,split,510258,498982,0.9779013754,,510335,498768,0.977334496
online,both,567564,559839,0.9863892002,,567219,558888.5,0.9853134327
Calculate,none,500000,487529.5,0.975059,,500000,488095.5,0.976191
Calculate,double,540054,536156,0.9927822033,,539221,534094.5,0.9904927664
Calculate,split,506949,499082,0.9844816737,,504974,497369.5,0.9849408088
Calculate,both,546668,545531.5,0.9979210417,,544743,545245,1.000921535